Comment,Description,Designator,Footprint,LibRef,Quantity,ComponentLink1URL

"10nF","Dán","C1","tu 0805","Tu 0805 104 50V 10%","1","https://www.thegioiic.com/tu-gom-0805-10nf-50v"
"10uF/50V","CAP CER 220uF 20% 6.3V X5R 1210","C2","CAPC-1210 (3225)","CL32A227MQVNNNE","1","https://www.thegioiic.com/tu-gom-1210-10uf-50v"
"1uF/50V","CAP ALUM 10uF 20% 16V SMD","C3","CAP_ALUM_SMD_4054_TYPE_B","EEE-HA1C100P","1","https://www.thegioiic.com/tu-nhom-smd-1uf-50v-4x5-4mm"
"0.1uF","Dán","C4","tu 0805","Tu 0805 104 50V 10%","1","https://www.thegioiic.com/tu-gom-0805-100pf-50v"
"22uF/25V","CAP CER 220uF 20% 6.3V X5R 1210","C5","CAPC-1210 (3225)","CL32A227MQVNNNE","1","https://www.thegioiic.com/tu-gom-1210-10uf-50v"
"3.3nF","Dán","C6","tu 0805","Tu 0805 104 50V 10%","1","https://www.thegioiic.com/tu-gom-0805-3-3nf-50v"
"100nF","CAP CER 100PF 50V C0G/NP0 0805","C7, C8, C9, C10, C12, C13, C15, C17","FP-C0805C-DN-MFG","CMP-03020-013647-1","8",""
"10uF","CAP CER 100PF 50V C0G/NP0 0805","C11, C14, C16","FP-C0805C-DN-MFG","CMP-03020-013647-1","3",""
"12pF","CAP CER 100PF 50V C0G/NP0 0805","C18, C20","FP-C0805C-DN-MFG","CMP-03020-013647-1","2",""
"104","Dán","C19","tu 0603","Tu 0603 104 50V 10%","1","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-25v"
"SR206/SS26","DIODE GEN PURP 600V 2A DO214AA","D1","FP-95401-MFG","CMP-02540-000056-1","1","https://www.thegioiic.com/ss26-smb-diode-schottky-2a"
"1N4752","Dán","D2","DIODE ZENNER SMD SOD80","Diode Zener 15V","1","https://www.thegioiic.com/zmm24-diode-zener-24v-500mw-smd"
"3A","Cau chi 0.5A 125V SMD1808","F1","Cau Chi SMD1808","Cau chi 0.5A 125V SMD1808","1","https://www.thegioiic.com/cau-chi-tac-dong-nhanh-smd-1808-3a-250v"
"siren","C?m","H1","XH2.54M-2","Header 2P 2.54 Duc Thang","1",""
"LED","C?m","H2","XH2.54M-2","Header 2P 2.54 Duc Thang","1",""
"+3.3 connect","C?m","H3","XH2.54M-2","Header 2P 2.54 Duc Thang","1",""
"TYN612","","IC1","TYN612VER1","TYN612","1",""
"MP2350-2A","","IC2","MP2305","MP2350-2A","1",""
"UART_STM32","C?m","JP1","JP 1x3 DT","JP 1x3 2.54 Duc Thang","1","https://www.thegioiic.com/hang-rao-duc-don-2-54mm-40-chan-1-hang-cao-11-2mm-xuyen-lo"
"SWD_STM32","C?m","JP2","JP 1x3 DT","JP 1x3 2.54 Duc Thang","1","https://www.thegioiic.com/hang-rao-duc-don-2-54mm-40-chan-1-hang-cao-11-2mm-xuyen-lo"
"12VDC","C?m","KF2","Con 2 KF301 5.08","CON 2 KF301","1",""
"10uH","Dán","L1","Cuon Cam 7x7x5","CUON CAM 47uH SMD","1","https://www.thegioiic.com/cuon-cam-dan-smd-cd75-7855-100-10uh-2-3a"
"LED 0805","Dán","L3","LED-0805-Orange","LED 0805 Cam","1","https://www.thegioiic.com/led-cam-0805-dan-smd-trong-suot-harvatek"
"LED 0805","Dán","L4","LED-0805-Blue","LED 0805 Xanh Duong","1","https://www.thegioiic.com/led-xanh-duong-0805-dan-smd-trong-suot"
"SM4028NSU","N-Channel CoolMOS E6 Power-Transistor, 600 V VDS, 7.3 A ID, -55 to 150 degC, PG-TO252-3-313, Reel, Green","Q1, Q2","INF-PG-TO252-3-313_L","CMP-1164-00349-1","2","http://www.infineon.com/"
"100K","Dán","R1","tro smd 0603","Tro 0603 5% 10k","1","https://www.thegioiic.com/dien-tro-100-kohm-0805-1"
"1k","Dán","R2","tro smd 0805","Tro 0805 1% 1k","1","https://www.thegioiic.com/dien-tro-1-kohm-0805-1"
"26.1k","Dán","R3","tro smd 0603","Tro 0603 5% 10k","1","https://www.thegioiic.com/dien-tro-100-kohm-0805-1"
"10K","Dán","R5, R11, R12, R13, R15, R16, R18, R19, R23","tro smd 0603","Tro 0603 5% 10k","9","https://www.thegioiic.com/dien-tro-10-kohm-0805-5, https://www.thegioiic.com/dien-tro-1-kohm-0603-1, https://www.thegioiic.com/dien-tro-10-kohm-0603-1-"
"1K","Dán","R6, R9","tro smd 0603","Tro 0603 5% 10k","2","https://www.thegioiic.com/dien-tro-1-kohm-0603-1"
"150","Dán","R7, R8","tro smd 0603","Tro 0603 5% 10k","2","https://www.thegioiic.com/dien-tro-1-kohm-0603-1"
"5.6k","Dán","R10","tro smd 0603","Tro 0603 5% 10k","1","https://www.thegioiic.com/dien-tro-5-6-kohm-0805-1"
"0K","Dán","R14","tro smd 0603","Tro 0603 5% 10k","1","https://www.thegioiic.com/dien-tro-1-kohm-0603-1"
"10K","","R17","RESC2013X50X30LL20T20","CMP-2001-04896-1","1",""
"button","SWITCH TACTILE SPST-NO 0.05A 12V","SW2","FP-436331045822-MFG","CMP-1463-00001-2","1","https://www.thegioiic.com/nut-nhan-rua-4-5x4-7mm-cao-1-65mm-4-chan-smd"
"STM32F103C8T6","ARM Cortex-M3 32-bit MCU, 64 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray","U1","STM-LQFP48_L","CMP-0237-00215-3","1","http://www.st.com/web/en/home.html"
"DWM1000","DW M1000 IEEE 802.15.4 -2011 UWB Transceiver Module","U2","DECW-DWM1000-24_V","CMP-2000-05094-1","1","https://www.mouser.vn/ProductDetail/Qorvo/DWM1000?qs=sGAEpiMZZMu3sxpa5v1qrrjDD2pjKdCcRPXEFIZh8rA%3D"
"ESP 07","ESP8266 07 16 Pin","U3","ESP8266 07","ESP8266 07","1",""
"RA-02_LORA","Ra-02 LoRa RF M5Stack Platform Evaluation Expansion Board","U4","MODULE_RA-02_LORA","RA-02_LORA","1",""
"8MHz","Crystal 26MHz, 30ppm, 18pF, 50O","Y1","FP-7M-MFG","CMP-18717-000290-1","1",""
